StateAbbr,PlaceName,PlaceFIPS,Binge rate,Cancer rate,Diabetes rate,Mental health rate,Obesity rate,Sleep rate
WA,Renton,5357745,16.7,5.5,7.8,12.2,22.2,31.7
WA,Seattle,5363000,18.5,5.6,6.5,11.2,20.8,29.1
WA,Spokane,5367000,16.4,6.8,8.8,15.2,29.3,32.7
WA,Spokane Valley,5367167,16.5,7.3,8.8,14.6,28.9,32.2
WA,Tacoma,5370000,16.8,6.2,10.3,14.8,30.8,37.9
WA,Vancouver,5374060,16.9,6.5,9.6,14,33.9,32.4
WA,Yakima,5380010,14.4,6.5,11.8,16.1,36.8,33.8
WV,Charleston,5414600,11.8,7.4,14.7,16.5,38.7,40.3
WI,Appleton,5502375,25.5,6.3,7.9,12.1,31.9,29.7
WI,Green Bay,5531000,25.5,6.2,8.6,13.3,34.6,36
WI,Kenosha,5539225,25,6,8.4,13.1,32.8,34.7
WI,Madison,5548000,27.6,5.2,5.8,10.8,26,29.3
